Experiment_ID,Date,Git_commit,Hypothesis,Code_version,Dataset_version,Configuration,Blocking_method,Features_used,Model_used,Threshold,Candidate_recall,Precision,Recall,F0.5,Runtime,Memory_usage,Observations,Final_conclusion
EXP-001,2026-09-25,,Baseline exact match to establish floor,v1,train_v1,none,exact_name_country,none,none,1.0,N/A,N/A,N/A,0.19372,2min,Low,Exact match is inadequate due to noise,Need fuzzy blocking
EXP-002,2026-09-25,,TF-IDF Character N-Grams will improve candidate recall,v1,train_v1,none,tfidf_global,none,none,1.0,N/A,N/A,N/A,N/A,Aborted,High,Global TF-IDF without partitions caused OOM and extremely slow execution,Aborted due to inefficient global retrieval
EXP-002B,2026-09-25,,Partitioning by country and saving index cache will massively improve TFIDF recall retrieval efficiency,v2,train_v1,none,tfidf_partitioned,none,none,1.0,Aborted,N/A,N/A,N/A,Aborted,Optimized,Benchmark scope too large,Aborted
EXP-002B-small,2026-09-25,,1000 query signal benchmark for fast iteration,v2,train_v1,none,tfidf_partitioned,none,none,1.0,Pending,N/A,N/A,N/A,Pending,Optimized,Pending,Pending
EXP-002B-stage2,2026-09-26,,Full validation benchmark for D2 blocking,v3,train_v1,none,tfidf_partitioned,business_name+business_address,none,1.0,Pending,N/A,N/A,N/A,Pending,Optimized,Pending,Pending
BLK-018,2026-09-26,dda8177,"Fixed D2 generator (char_wb 3-5, name+address) reproduces EXP-002B D2",v4,train_v1,"char_wb(3,5) name+address, country partition, min_df 2, K=200",tfidf_partitioned_d2,business_name+business_address,none,N/A,"0.9568 (R@200, 5k val)",N/A,N/A,N/A,17 min laptop (5k),10.5 GB,~10 S1/s; faithful to D2 within noise,D2 correct but too slow for full runs
BLK-019,2026-09-26,aaac207,Word unigram beats D2 under an identical harness,v4,train_v1,"same 20k val S1, pool, fields, min_df 2, K=200; analyzer differs",tfidf_partitioned d2 vs word vs word_maxdf02,business_name+business_address,none,N/A,d2 0.95865 / word 0.97747 / word_maxdf02 0.97406 (R@200),N/A,N/A,N/A,d2 2077 s / word 200 s / maxdf 45 s query (20k),~10 GB,S1/s 9.6 / 99.8 / 446; word@50 (0.963) beats d2@200,Mudit froze word unigram as final blocker
BLK-020,2026-09-26,69a91f1,Final frozen word blocker: full train + validation candidates,v4,train_v1,"word unigram name+address, country partition, min_df 2, K=200, config_sha 657f59868e58",tfidf_partitioned_word,business_name+business_address,none,N/A,val 0.9779 / train 0.97795 (R@200); ceiling F0.5@200 val 0.99213,N/A,N/A,N/A,"~25 min wall, 48x m7i-flex.large AWS (+4 min merge)",8 GB + 8 GB swap per instance,"train 353,091,200 pairs / val 88,273,000; 200 per S1; 0 S1 without candidates; 2,500-S1 train sample R@200 0.97807",Handed to Ashank + Mudit
RULE-001,2026-09-26,76762de,Score rule on BLK-020 candidates (threshold + ratio-to-top1 + one-owner-per-record) as the ML-free baseline,v4,train_v1,"rank<=10, score>=0.60, score>=0.8*top1, owner computed over train+val S1 (mirrors test)",BLK-020 word unigram,blocking score/rank only,rule,t=0.60 a=0.8,val R@10 0.925,0.8021,0.6789,0.7505,~2.5 min laptop,~6 GB,singleton accuracy 16.9%; ratio 0.8 + owner won every top config,Floor for the ML matcher; tonight's leaderboard calibration submission
BLK-021,2026-09-26,01d7600,"B1: why BLK-020 misses val pairs, and the recoverable ceiling",v4,train_v1,"all 33,778 missed val pairs at K=200 (2.21% of 1,528,543)",BLK-020 miss analysis,name/addr/translit similarity,none,N/A,N/A,N/A,N/A,N/A,51 s laptop,~6 GB,"only 3 misses unrecoverable (no shared word, translit<50, addr<50); 99.92% share a word but are crowded out of top-200; 44% translit-name similar; 22% cross-script (Devanagari only)",0.999 ceiling reachable in principle; misses need targeted channels
BLK-022,2026-09-26,01d7600,"B2: extra channels (fwd name_key, reverse word, reverse name_key) recover BLK-020 misses",v4,train_v1,"recovery measured on the 33,778 misses; cost on 5k S1 / 50k record samples",word@200 + channel unions,N/A,none,N/A,"best union fwd_nk@100+rev_word@10+rev_nk@10: 49.0% of misses, val ceiling 0.99594 at <=+184 cands/S1; rev_nk@3 alone 0.99378 at <=+14",N/A,N/A,N/A,29 min laptop,~10 GB,none reaches the 0.997 gate; diminishing returns (2x candidates for +0.0038),REJECTED at gate: BLK-020 stays frozen
